"rotulo","provincia","direccion"
"PLENOIL","ALBACETE","CALLE FEDERICO GARCIA LORCA, 1"
"TAMOS","ALBACETE","AVENIDA MENÉNDEZ PIDAL, 58"
"REPSOL","ALBACETE","CARRETERA JAEN KM. 2"
"REPSOL","ALBACETE","CR N-301, 244"
"CEPSA","ALBACETE","CARRETERA N-322 KM. 349"
"CORYMAR","ALBACETE","CTRA.AGUASNUEVAS KM 0,25"
"GMOIL","ALBACETE","AVENIDA PRIMERA, S/N"
"NATURGY ES  GNV ALBACETE","ALBACETE","CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N"
"VALERO 24H","ALBACETE","AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67"
"ENERCOM CARBURANTES","ALBACETE","POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69"
"AVANZA OIL","ALBACETE","POLIGONO CAMPOLLANO C/.F, 13"
"FAST & GAS","ALBACETE","AVENIDA 3ª ESQUINA C/ F Nº3, 3"
"CEPSA","ALBACETE","AUTOVIA A-30 KM. 239,4"
"GASÓLEOS S. ALMANSA","ALBACETE","AVENIDA CIRCUNVALACION, 17"
"QUALITY ALMANSA","ALBACETE","CALLE INFANTE DON JUAN MANUEL, 4"
"GASOLINERA LOW COST PENADES","ALBACETE","CARRETERA N-430 BADAJOZ A VALENCIA KM. 594"
"COOPERATIVA SANTA CRUZ DE ALPERA","ALBACETE","BONETE, S/Nº"
"COABA","ALBACETE","CAMINO DE LOS GONZALOS SN"
"CEPSA","ALBACETE","AVDA. DEL VINO, 10"
"VILA Y FAYOS","ALBACETE","CARRETERA D-12 ESTACION KM. 32"
"HAM","ALBACETE","CARRETERA D12 ESTACION KM. 1"
"TRANSPORTES CAUDETE","ALBACETE","CARRETERA N-344 KM. 114,500"
"VIRGEN DE LAS NIEVES","ALBACETE","CALLE VIRGEN DE LAS NIEVES, 17"
"SAN DIONISIO","ALBACETE","LA HIGUERA, 000"
"HELLIN GAS S.L.","ALBACETE","CARRETERA TORREUCHEA KM. 1"
"MULTSER-OIL","ALBACETE","CARRETERA N 301-A KM. S/N"
"PLENOIL","ALBACETE","AVENIDA LIBERTAD, 111"
"IDS","ALBACETE","POLIGONO SAN RAFAEL 3ª FASE, SN"
"NO","ALBACETE","BALTASAR GONZALEZ SAEZ, 34 - 36"
"SAT VIDEMA","ALBACETE","AVENIDA DE LEVANTE 27"
"SECADEMA","ALBACETE","CAMINO HORTIGOSA, S/N"
"COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR","ALBACETE","CARRETERA MADRID-CARTAGENA KM. S/N"
